,img_filename,category,Compacidad,Redondez,Relacion entre lados,Primer Momento,Segundo Momento,Tercer Momento,Cuarto Momento,Quinto Momento,Sexto Momento,Septimo Momento,Entropia,Porcentaje de Area Rellena,Umbral usado,x,y,w,h,index
0,data/traffic_signs/Ceda_el_Paso/Cedapaso1.jpg,ruido,13.93446528,0.901819364,1.236714976,3.020353988,6.733362736,10.16857793,10.63327234,-21.03457709,-14.04638816,-22.41309288,-5.662325859,55.83227048,60,40,1181,208,257,0
1,data/traffic_signs/Ceda_el_Paso/Cedapaso10.jpg,ruido,14.29216333,0.879249021,1.292372881,3.057823986,7.280497426,11.05781098,11.07937472,22.14901622,15.39277408,23.30655349,-6.371534348,64.03233201,140,2627,3880,306,237,0
2,data/traffic_signs/Ceda_el_Paso/Cedapaso10.jpg,ruido,14.49227962,0.867107932,1.359265741,2.890192959,6.457510466,10.41919465,10.75745622,21.38859285,-15.40908734,-21.7194342,-6.173017025,59.21011552,120,2429,3069,353,290,1
3,data/traffic_signs/Ceda_el_Paso/Cedapaso10.jpg,Ceda_el_Paso,15.6414485,0.803401975,1.074766355,3.042233208,9.144688768,9.388592344,13.70704002,-26.30538134,18.59533685,-25.25658376,-5.916883469,37.2168217,81,1548,1075,461,429,2
4,data/traffic_signs/Ceda_el_Paso/Cedapaso10.jpg,ruido,14.19379725,0.885342407,1.018587361,3.137623792,6.974239877,10.55685023,11.44182766,22.44672017,14.96705438,-23.24002876,-6.229372978,56.43077129,216,1403,371,275,270,3
5,data/traffic_signs/Ceda_el_Paso/Cedapaso11.jpg,ruido,14.73868416,0.852611432,1.411320755,3.060236964,6.978196585,10.77816946,11.12816866,22.10890296,14.6230884,22.54317087,-6.2926054,79.83549583,178,435,1828,375,266,0
6,data/traffic_signs/Ceda_el_Paso/Cedapaso11.jpg,Ceda_el_Paso,14.92740161,0.841832419,1.037572254,3.038476961,9.218491666,9.343537643,12.72842629,23.7651563,17.71993545,-24.99619624,-6.131576061,40.7052742,130,2131,668,360,347,1
7,data/traffic_signs/Ceda_el_Paso/Cedapaso12.jpg,ruido,14.44316298,0.870056693,1.315175097,3.075462274,7.083299791,10.79508666,11.24200483,22.28251136,14.78868128,22.76899165,-6.301907539,80.73864241,175,684,1775,339,258,0
8,data/traffic_signs/Ceda_el_Paso/Cedapaso12.jpg,Ceda_el_Paso,14.93392435,0.84146473,1.042857143,3.039874583,10.37403532,9.34471351,12.73562835,-24.40613281,-17.94342033,23.78805344,-6.239668846,40.73864688,134,2344,615,366,351,1
9,data/traffic_signs/Ceda_el_Paso/Cedapaso13.jpg,ruido,14.56536345,0.862757092,1.30078125,3.075051553,7.057215614,10.58600852,11.09918309,21.95623757,14.63251673,22.53728098,-6.350462914,80.42384761,173,666,1792,334,257,0
10,data/traffic_signs/Ceda_el_Paso/Cedapaso13.jpg,Ceda_el_Paso,14.93497443,0.841405566,1.043103448,3.042367149,10.28969887,9.354150317,12.62661543,-23.82208391,-17.86520074,23.72393925,-6.212374687,41.1541864,132,2337,650,364,349,1
11,data/traffic_signs/Ceda_el_Paso/Cedapaso14.jpg,ruido,14.39621025,0.872894352,1.31372549,3.085106897,7.112133563,11.01203225,11.42115238,22.68975618,14.98045849,22.97355918,-5.759073734,82.60093084,211,688,1790,336,256,0
12,data/traffic_signs/Ceda_el_Paso/Cedapaso14.jpg,Ceda_el_Paso,14.92800292,0.84179851,1.043352601,3.043526021,11.7854507,9.369869594,12.70627876,-23.94681638,-18.96069125,23.8529792,-5.550366402,41.45961261,156,2351,656,362,347,1
